trial,D,W,ID,MT,error,subject_id,group_id,device
52,7.0,1.0,3.0241663111307524,1029.106855392456,0,4,1,1
53,12.0,4.0,2.0,875.6804466247559,0,4,1,1
54,6.0,2.0,2.004800986263821,716.9561386108398,0,4,1,1
55,3.0,1.0,2.019365324866931,1026.6344547271729,0,4,1,1
56,14.0,2.0,3.009586048829198,811.8557929992676,0,4,1,1
57,7.0,1.0,3.0241663111307524,909.9240303039552,0,4,1,1
58,9.0,3.0,2.0031882776310477,736.1364364624023,0,4,1,1
59,12.0,4.0,2.0,665.2324199676514,0,4,1,1
0,15.0,1.0,4.026560826271135,1853.508234024048,0,5,0,1
1,12.0,4.0,2.0,1522.352695465088,0,5,0,1
2,3.5,0.5,3.0588936890535683,2162.463665008545,0,5,0,1
3,9.0,3.0,2.0031882776310477,1527.5282859802246,0,5,0,1
4,1.75,0.25,3.0588936890535683,1816.3611888885496,0,5,0,1
5,9.0,3.0,2.0031882776310477,1099.055528640747,0,5,0,1
6,6.0,2.0,2.004800986263821,1126.597881317139,0,5,0,1
7,1.75,0.25,3.0588936890535683,1225.1806259155271,0,5,0,1
8,14.0,2.0,3.009586048829198,1344.1171646118164,0,5,0,1
9,3.0,1.0,2.019365324866931,1366.7094707489014,0,5,0,1
10,15.0,1.0,4.026560826271135,1730.5009365081787,0,5,0,1
11,6.0,2.0,2.004800986263821,1146.6000080108645,0,5,0,1
12,14.0,2.0,3.009586048829198,1528.869867324829,0,5,0,1
13,7.0,1.0,3.0241663111307524,1109.403371810913,0,5,0,1
14,7.0,1.0,3.0241663111307524,1168.3077812194824,0,5,0,1
15,3.0,1.0,2.019365324866931,1252.8870105743408,0,5,0,1
16,15.0,1.0,4.026560826271135,1465.132713317871,0,5,0,1
17,9.0,3.0,2.0031882776310477,1330.216884613037,0,5,0,1
18,7.5,0.5,4.0636946753173895,1599.8013019561768,0,5,0,1
19,12.0,4.0,2.0,1115.6551837921145,0,5,0,1
20,7.0,1.0,3.0241663111307524,1551.7735481262207,0,5,0,1
21,3.5,0.5,3.0588936890535683,1403.055191040039,0,5,0,1
22,7.0,1.0,3.0241663111307524,1219.2227840423584,0,5,0,1
23,3.75,0.25,4.058893689053568,1277.7316570281982,1,5,0,1
24,12.0,4.0,2.0,1425.894260406494,0,5,0,1
25,3.5,0.5,3.0588936890535683,1714.3940925598145,0,5,0,1
26,11.25,0.75,4.016012317988631,1547.0895767211914,0,5,0,1
